model,f1_macro,execution_time
Self-Training (Default),0.5343258092284096,
Co-Training (Default),0.404431750461202,
Self-Training (Random Forest),0.41525942840347385,10.785409927368164
Self-Training (KNN),0.31420034478040604,21.696950435638428
LabelPropagation (KNN Kernel),0.31264969939918225,13.570269107818604
LabelSpreading (KNN Kernel),0.3497194353170048,4.431582450866699
